2025-08-12 20:28:13.565 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.582 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt - Copia.locked
2025-08-12 20:28:13.586 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt - Copia.locked
2025-08-12 20:28:13.604 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt - Copia.locked
2025-08-12 20:28:13.605 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:13.607 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt - Copia.locked
2025-08-12 20:28:13.608 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt - Copia.locked
2025-08-12 20:28:13.610 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia.txt - Copia.locked
2025-08-12 20:28:13.613 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.619 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj.txt - Copia.locked
2025-08-12 20:28:20.638 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.639 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt - Copia.locked
2025-08-12 20:28:20.704 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.743 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt - Copia.locked
2025-08-12 20:28:20.744 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.745 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt - Copia.locked
2025-08-12 20:28:20.746 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.747 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt - Copia.locked
2025-08-12 20:28:20.748 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.749 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt - Copia.locked
2025-08-12 20:28:20.749 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.750 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt - Copia.locked
2025-08-12 20:28:20.751 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.752 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt - Copia.locked
2025-08-12 20:28:20.753 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.760 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt - Copia.locked
2025-08-12 20:28:20.762 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:28:20.763 [COMUM] -> Deletado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt - Copia.locked
2025-08-12 20:28:20.763 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
